Hillary Clinton	Democratic
Donald Trump	Republican
Gary Johnson	Libertarian
Jill Stein	Green
Evan McMullin	Independent
Others	Other
Margin
Total
Alabama	9	729547	34.36%	0	1318255	62.08%	9	44467	2.09%	0	9391	0.44%	0	0	0	0	21712	1.02%	0	588708	27.73%	2123372	AL
Alaska	3	116454	36.55%	0	163387	51.28%	3	18725	5.88%	0	5735	1.80%	0	0	0	0	14307	4.49%	0	46933	14.73%	318608	AK
Arizona	11	1161167	45.13%	0	1252401	48.67%	11	106327	4.13%	0	34345	1.33%	0	17449	0.68%	0	1476	0.06%	0	91234	3.55%	2573165	AZ
Arkansas	6	380494	33.65%	0	684872	60.57%	6	29829	2.64%	0	9473	0.84%	0	13255	1.17%	0	12712	1.12%	0	304378	26.92%	1130635	AR
California	55	8753788	61.73%	55	4483810	31.62%	0	478500	3.37%	0	278657	1.96%	0	39596	0.28%	0	147244	1.04%	0	−4,269,978	−30.11%	14181595	CA
Colorado	9	1338870	48.16%	9	1202484	43.25%	0	144121	5.18%	0	38437	1.38%	0	28917	1.04%	0	27418	0.99%	0	−136,386	−4.91%	2780247	CO
Connecticut	7	897572	54.57%	7	673215	40.93%	0	48676	2.96%	0	22841	1.39%	0	2108	0.13%	0	508	0.03%	0	−224,357	−13.64%	1644920	CT
Delaware	3	235603	53.09%	3	185127	41.72%	0	14757	3.32%	0	6103	1.37%	0	706	0.16%	0	1518	0.34%	0	−50,476	−11.37%	443814	DE
D.C.	3	282830	90.48%	3	12723	4.07%	0	4906	1.57%	0	4258	1.36%	0	0	0	0	6551	2.52%	0	−270,107	−86.78%	311268	DC
Florida	29	4504975	47.82%	0	4617886	49.02%	29	207043	2.20%	0	64399	0.68%	0	0	0	0	25736	0.28%	0	112911	1.20%	9420039	FL
Georgia	16	1877963	45.64%	0	2089104	50.77%	16	125306	3.05%	0	7674	0.19%	0	13017	0.32%	0	1668	0.04%	0	211141	5.13%	4114732	GA
Hawaii	4	266891	62.22%	3	128847	30.03%	0	15954	3.72%	0	12737	2.97%	0	0	0	0	4508	1.05%	1	−138,044	−32.18%	428937	HI
Idaho	4	189765	27.49%	0	409055	59.26%	4	28331	4.10%	0	8496	1.23%	0	46476	6.73%	0	8132	1.18%	0	219290	31.77%	690255	ID
Illinois	20	3090729	55.83%	20	2146015	38.76%	0	209596	3.79%	0	76802	1.39%	0	11655	0.21%	0	1627	0.03%	0	−944,714	−17.06%	5536424	IL
Indiana	11	1033126	37.91%	0	1557286	56.82%	11	133993	4.89%	0	7841	0.27%	0	0	0	0	2712	0.10%	0	524160	19.17%	2734958	IN
Iowa	6	653669	41.74%	0	800983	51.15%	6	59186	3.78%	0	11479	0.73%	0	12366	0.79%	0	28348	1.81%	0	147314	9.41%	1566031	IA
Kansas	6	427005	36.05%	0	671018	56.65%	6	55406	4.68%	0	23506	1.98%	0	6520	0.55%	0	947	0.08%	0	244013	20.60%	1184402	KS
Kentucky	8	628854	32.68%	0	1202971	62.52%	8	53752	2.79%	0	13913	0.72%	0	22780	1.18%	0	1879	0.10%	0	574177	29.84%	1924149	KY
Louisiana	8	780154	38.45%	0	1178638	58.09%	8	37978	1.87%	0	14031	0.69%	0	8547	0.42%	0	9684	0.48%	0	398484	19.64%	2029032	LA
Maine 	4	357735	47.83%	2	335593	44.87%	0	38105	5.09%	0	14251	1.91%	0	1887	0.25%	0	356	0.05%	0	−22,142	−2.96%	747927	ME0a/l
Maryland	10	1677928	60.33%	10	943169	33.91%	0	79605	2.86%	0	35945	1.29%	0	9630	0.35%	0	35169	1.26%	0	−734,759	−26.42%	2781446	MD
Massachusetts	11	1995196	60.01%	11	1090893	32.81%	0	138018	4.15%	0	47661	1.43%	0	2719	0.08%	0	50559	1.52%	0	−904,303	−27.20%	3325046	MA
